Digital Gain,11.69,3.41,10.81,3.18,8.39,2.1,42.43,13.77,17.22,3.29,33.33,5.65,17.99,4.27,19.35,4.27,57.58,9.73,12.14,2.11,31.65,5.64,14.5,3.2,11.67,2.4,58.64,13,85.27,18.81,18.7,5.53,38.47,7.62,20.03,3.84,37.17,9.2,4.42,1.82,11.4,2.87,17.88,4.07
42,-0.07902898,0.00807265,0.159051,-0.12906013,-0.06919461,-0.19086303,-0.28626013,-0.12691663,0.03785412,0.01079097,-0.0054858,0.00775146,0.02079341,0.03742031,-0.10009763,-0.046465,0.05949661,0.03711348,0.04117391,-0.22362095,0.01708206,0.0490475,0,07:29.9,0,0,0,,,,,,,,,,,,,,,,,
43,-0.08640917,0.00277615,0.15132993,-0.13553685,-0.08231393,-0.19802782,-0.29210627,-0.1335073,0.03050992,-0.00090661,-0.01024323,-0.00006346,0.01444051,0.02704335,-0.10622483,-0.05508125,0.05007906,0.02991184,0.03620668,-0.22540277,0.00514213,0.04018067,0,07:30.0,0,0,0,,,,,,,,,,,,,,,,,
44,-0.09429981,-0.00270105,0.1433963,-0.14233202,-0.09568273,-0.20541479,-0.29795501,-0.14021154,0.02299704,-0.01284291,-0.01512227,-0.0079487,0.00792602,0.01639429,-0.11254596,-0.06376062,0.0404634,0.02255344,0.03121965,-0.22713572,-0.0069586,0.03113023,0,07:30.0,0,0,0,,,,,,,,,,,,,,,,,
45,-0.1026848,-0.00835535,0.13528807,-0.14943871,-0.10927106,-0.21302043,-0.30381569,-0.14701943,0.01533269,-0.02496596,-0.02011939,-0.01586646,0.00127444,0.00551853,-0.11905076,-0.07248292,0.0306797,0.0150586,0.02623496,-0.22883193,-0.01918078,0.02192952,0,07:30.2,0,0,0,,,,,,,,,,,,,,,,,
46,-0.11154055,-0.01418161,0.12704504,-0.15685065,-0.12303744,-0.22083665,-0.30969331,-0.15391384,0.00752207,-0.03722092,-0.0252198,-0.02378099,-0.0054873,-0.00553401,-0.12573153,-0.08122632,0.02076432,0.00745403,0.02127401,-0.23050232,-0.03148548,0.01261463,0,07:30.2,0,0,0,,,,,,,,,,,,,,,,,
47,-0.12083854,-0.02017459,0.11870332,-0.16455148,-0.13694802,-0.22884825,-0.31558853,-0.16087636,-0.00041483,-0.04955494,-0.03041552,-0.03165593,-0.01233517,-0.01670989,-0.13257615,-0.08997219,0.01075667,-0.00023488,0.01635538,-0.23215438,-0.04383256,0.00321957,0,07:30.4,0,0,0,,,,,,,,,,,,,,,,,
48,-0.13055807,-0.02633185,0.11029534,-0.1725346,-0.15097409,-0.23704079,-0.32150108,-0.16788775,-0.00846956,-0.06192193,-0.03569911,-0.03946055,-0.01924729,-0.02796772,-0.13957633,-0.09870253,0.00068387,-0.00798308,0.01150008,-0.23379475,-0.05618593,-0.00622479,0,07:30.5,0,0,0,,,,,,,,,,,,,,,,,
49,-0.14068015,-0.03265841,0.1018452,-0.18079624,-0.16510448,-0.24541424,-0.32743189,-0.17493474,-0.01665082,-0.07428912,-0.04106342,-0.04717106,-0.02620745,-0.03927471,-0.14672215,-0.10740549,-0.00943687,-0.01577723,0.00672305,-0.23542754,-0.06852758,-0.01569699,0,07:30.5,0,0,0,,,,,,,,,,,,,,,,,
50,-0.15115376,-0.03913473,0.09339523,-0.18930137,-0.17927253,-0.25392604,-0.33336559,-0.18198432,-0.02492445,-0.08659144,-0.04649612,-0.05475218,-0.03318177,-0.05057377,-0.15399148,-0.11605982,-0.01956883,-0.0235861,0.00203888,-0.23705602,-0.08080874,-0.0251557,0,07:30.7,0,0,0,,,,,,,,,,,,,,,,,
51,-0.16193366,-0.04574435,0.08498407,-0.19802466,-0.19342871,-0.2625418,-0.33928236,-0.18900587,-0.03327653,-0.09876953,-0.05197975,-0.06216868,-0.04014353,-0.06179336,-0.16136442,-0.12464177,-0.02966794,-0.03137811,-0.00253303,-0.23868059,-0.09298589,-0.0345641,0,07:30.7,0,0,0,,,,,,,,,,,,,,,,,
52,-0.17297351,-0.05247092,0.0766464,-0.20693825,-0.20752217,-0.27122453,-0.34516162,-0.19596645,-0.04168858,-0.11077174,-0.05749939,-0.06939185,-0.04706549,-0.07289577,-0.16882126,-0.13312896,-0.0397003,-0.03912324,-0.00697924,-0.24030012,-0.10501782,-0.04389144,0,07:30.9,0,0,0,,,,,,,,,,,,,,,,,
